Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Portugal,Monitoring and surveillance,NA,"Driving Under Influence of Alcohol, Drugs and Medicines; Projet DRUID. Epidemiological study on the prevalence of alcohol, drugs and medicines in general drivers and drivers injured or killed in road accdents, part of a European project.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",Research study on alcohol use in pregnancy. The aims were to describe patterns of alcohol use in a sample of pregnant woman who attended primary healthcare facilities in Lisbon and to identify risk/protective factors related to patterns of alcohol use.,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Driving Under Influence of Alcohol, Drugs and Medicines; Projet DRUID. Epidemiological study on the prevalence of alcohol, drugs and medicines in general drivers and drivers injured or killed in road accdents, part of a European project.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2014” [“Annual Report on the Situation of the Country Concerning Alcohol, 2014”].","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Driving Under Influence of Alcohol, Drugs and Medicines; Projet DRUID. Epidemiological study on the prevalence of alcohol, drugs and medicines in general drivers and drivers injured or killed in road accdents, part of a European project.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",National survey on addictive behaviours in prison settings,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Driving Under Influence of Alcohol, Drugs and Medicines; Projet DRUID. Epidemiological study on the prevalence of alcohol, drugs and medicines in general drivers and drivers injured or killed in road accdents, part of a European project.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.","Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD), 2015. Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs, 2015. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, of each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"A campaign to prevent the consumption of alcoholic beverages during pregnancy and breastfeeding was launched in September 2015 by Clube de Criativos de Portugal[“Portugese Creative Club”] in partnership with the General Directorate for Intervention on Addictive Behaviours and Dependencies (SICAD), within the scope of the Alcohol and Health Forum.",Revision/launch of a new alcohol strategy/action plan.
Portugal,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Launch/evaluation of a long-term nationwide information campaign to reduce alcohol-related harm.,Revision/launch of a new alcohol strategy/action plan.
Portugal,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Campaign to alert drivers to the dangers of driving under the influence of alcohol (“A decisão de quem o leva a casa é sua” [“The decision of who takes you home is yours”]) was carried out by the Autoridade Nacional de Segurança Rodoviária (ANSR) [“National Road Safety Authority”] and the Guarda Nacional Republicana (GNR) [National Republican Guard].,NA
Portugal,Availability of alcohol,NA,NA,NA,NA,NA,"Major changes in licensing systems, age limits etc. pertaining to the availability of alcohol: Decreto-Lei n.º 106/2015, de 16 de junho [Decree-Law n.Âº106/2015, of June 16], interdicting the consumption of all kinds of alcohol for minors 18 years.",NA
Portugal,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,"Agreement with the alcohol industry to develop responsible business practices in the selling, serving or marketing of alcoholic beverages",NA
Portugal,Pricing policies,NA,NA,NA,NA,NA,NA,The excise duty shall be annually revised in accordance with the procedure laid down by the State Budget Law
Qatar,Health services' response,NA,NA,NA,Established a drug and alcohol treatment and rehabilitation centre.,NA,NA,NA
Republic of Korea,"Leadership, awareness and commitment",NA,"Updated national alcohol action plan developed in 2006. The Bluebird Plan 2020 describes vision, objectives, and activities the government should implement to reduce harms associated with alcohol use by the year of 2020. However, the plan failed to secure parliamentary endorsement and enough financial resources to implement in full.",NA,NA,NA,NA,NA
Republic of Korea,Availability of alcohol,NA,NA,NA,NA,NA,NA,Legal permission required for the delivery of alcoholic beverages. Restriction removed for telesales of traditional liquors.
Republic of Korea,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,Strengthed policies on the content of warning labels on containers of alcoholic beverages.
Republic of Moldova,Drink-driving policies and countermeasures,NA,NA,NA,The minimum blood alcohol concentration for drivers has been lowered from 0.3–1.0% to 0.3–0.5%.,NA,NA,NA
Republic of Moldova,Availability of alcohol,NA,NA,NA,NA,NA,"Decision no. 356 of 11.06.2015 on the approval of the technical regulation ""The organization of the wine market"" which establishes a map of vineyards.",NA
Republic of Moldova,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,Development of a bill to ban advertising of alcoholic products.,NA
Republic of Moldova,Pricing policies,NA,NA,NA,NA,NA,"Amendment to the Fiscal code of the Republic of Moldova, increasing the excise tax on alcohol.","Draft of the Tax Policy Law 2017 provides for the following: No excise exemption for non-denaturated ethyl alcohol which is used by taxable entities dealing both in manufacturing cosmetics and manufacturing and selling alcoholic beverages. The change is aimed at preventing application of the excise exemption for non-denaturated ethyl alcohol to products used for purposes other than those of cosmetics manufacturing. It is proposed to adjust the excise rates, which are fixed sums for alcoholic beverages, by the inflation rate projected for 2017-2019 (5%). It is proposed also in the middle term to harmonize excise rates for alcoholic beverages with EU Directives."
